"PropertyName","LeaseID","LeaseLocation","OwnerName","SquareFootage","RenewDate","LastAmount","LastPaymentDate","Revenue"
"Round Building in the Square","371260","8 Rue du Nom Fictif 341 Paris","Charlie","75000","8/1/2022","250000","06/01/2022","22222"
"Square Building in the Round","371281","Avenida da Pastelaria 1903 Lisbon 1229-076","Lee","10000","6/2/2022","5000","04/01/2022","1800"
"Tours Jumelles Minuscules","271260","8 Rue du Nom Fictif 341 Paris","Lucian","1000000","7/14/2022","1250000","05/01/2022","77777"
"Barraca da Praia","271281","Avenida da Pastelaria 1903 Lisbon 1229-076","Raha","1000","6/2/2022","50000","04/01/2022","20000"
"The Modern Building","271312","Mountain View CA 94045","Yuri","17500","12/15/2022","100000","03/01/2022","12000"
"Garage @ 45","271320","Mountain View CA 94045","Luka","1000","6/2/2022","50000","04/01/2022","20000"
"Office Park Deluxe","271301","Mountain View CA 94045","Sasha","5000","6/2/2022","25000","04/01/2022","1200"
"Round Building in the Square","371260","8 Rue du Nom Fictif 341 Paris","Charlie","75000","8/1/2022","250000","06/01/2022","22222"
"Square Building in the Round","371281","Avenida da Pastelaria 1903 Lisbon 1229-076","Lee","10000","6/2/2022","5000","04/01/2022","1800"
"Tours Jumelles Minuscules","271260","8 Rue du Nom Fictif 341 Paris","Lucian","1000000","7/14/2022","1250000","05/01/2022","77777"
"Barraca da Praia","271281","Avenida da Pastelaria 1903 Lisbon 1229-076","Raha","1000","6/2/2022","50000","04/01/2022","20000"
"The Modern Building","271312","Mountain View CA 94045","Yuri","17500","12/15/2022","100000","03/01/2022","12000"
"Garage @ 45","271320","Mountain View CA 94045","Luka","1000","6/2/2022","50000","04/01/2022","20000"
"Office Park Deluxe","271301","Mountain View CA 94045","Sasha","5000","6/2/2022","25000","04/01/2022","1200"
